point,direction,angle_deg,px,py,temp_c,diff_centre_c,gradient_c_per_cm
centre,Center,0,97.0,84.0,35.8719,0.0000,0.0000
N,N,0,97.0,71.5,36.4627,+0.5907,0.4726
NE,NE,45,105.8,75.2,35.7786,-0.0933,0.0746
E,E,90,109.5,84.0,35.0510,-0.8209,0.6567
SE,SE,135,105.8,92.8,35.5183,-0.3537,0.2829
S,S,180,97.0,96.5,35.6074,-0.2645,0.2116
SW,SW,225,88.2,92.8,35.8662,-0.0057,0.0046
W,W,270,84.5,84.0,36.1518,+0.2798,0.2238
NW,NW,315,88.2,75.2,36.1466,+0.2747,0.2197
