point,direction,angle_deg,px,py,temp_c,diff_centre_c,gradient_c_per_cm
centre,Center,0,91.2,53.2,37.0484,0.0000,0.0000
N,N,0,91.2,41.2,36.3665,-0.6819,0.5682
NE,NE,45,99.7,44.7,36.0343,-1.0141,0.8451
E,E,90,103.2,53.2,36.0450,-1.0034,0.8362
SE,SE,135,99.7,61.7,36.5705,-0.4779,0.3983
S,S,180,91.2,65.2,37.1836,+0.1352,0.1127
SW,SW,225,82.8,61.7,34.0839,-2.9645,2.4704
W,W,270,79.2,53.2,34.9315,-2.1169,1.7641
NW,NW,315,82.8,44.7,35.7932,-1.2552,1.0460
