point,direction,angle_deg,px,py,temp_c,diff_centre_c,gradient_c_per_cm
centre,Center,0,107.9,78.0,35.2737,0.0000,0.0000
N,N,0,107.9,66.5,35.5615,+0.2878,0.2503
NE,NE,45,116.1,69.9,35.8352,+0.5616,0.4883
E,E,90,119.4,78.0,35.8714,+0.5978,0.5198
SE,SE,135,116.1,86.1,35.9168,+0.6432,0.5593
S,S,180,107.9,89.5,35.4137,+0.1401,0.1218
SW,SW,225,99.8,86.1,35.4665,+0.1928,0.1677
W,W,270,96.4,78.0,35.8669,+0.5932,0.5158
NW,NW,315,99.8,69.9,35.3920,+0.1183,0.1029
