point,direction,angle_deg,px,py,temp_c,diff_centre_c,gradient_c_per_cm
centre,Center,0,97.1,46.4,36.1167,0.0000,0.0000
N,N,0,97.1,33.4,34.9792,-1.1375,0.8750
NE,NE,45,106.3,37.2,35.8894,-0.2273,0.1748
E,E,90,110.1,46.4,36.2305,+0.1138,0.0875
SE,SE,135,106.3,55.6,36.1305,+0.0138,0.0106
S,S,180,97.1,59.4,35.5530,-0.5637,0.4336
SW,SW,225,87.9,55.6,30.1225,-5.9942,4.6109
W,W,270,84.1,46.4,26.6227,-9.4940,7.3031
NW,NW,315,87.9,37.2,34.9708,-1.1459,0.8814
