point,direction,angle_deg,px,py,temp_c,diff_centre_c,gradient_c_per_cm
centre,Center,0,83.2,99.3,33.9826,0.0000,0.0000
N,N,0,83.2,90.3,33.7150,-0.2676,0.2974
NE,NE,45,89.5,92.9,34.2141,+0.2315,0.2572
E,E,90,92.2,99.3,34.2217,+0.2391,0.2657
SE,SE,135,89.5,105.6,34.4514,+0.4688,0.5209
S,S,180,83.2,108.3,34.3447,+0.3621,0.4024
SW,SW,225,76.8,105.6,33.7435,-0.2391,0.2656
W,W,270,74.2,99.3,33.5788,-0.4038,0.4487
NW,NW,315,76.8,92.9,33.4868,-0.4958,0.5509
