point,direction,angle_deg,px,py,temp_c,diff_centre_c,gradient_c_per_cm
centre,Center,0,97.4,101.5,35.8938,0.0000,0.0000
N,N,0,97.4,93.0,36.2503,+0.3565,0.4194
NE,NE,45,103.4,95.5,35.4471,-0.4467,0.5255
E,E,90,105.9,101.5,35.8232,-0.0706,0.0831
SE,SE,135,103.4,107.5,36.1461,+0.2523,0.2969
S,S,180,97.4,110.0,36.2358,+0.3420,0.4024
SW,SW,225,91.4,107.5,35.8497,-0.0441,0.0519
W,W,270,88.9,101.5,35.9209,+0.0271,0.0319
NW,NW,315,91.4,95.5,36.3145,+0.4207,0.4949
