point,direction,angle_deg,px,py,temp_c,diff_centre_c,gradient_c_per_cm
centre,Center,0,81.2,83.7,34.8775,0.0000,0.0000
N,N,0,81.2,74.2,35.1433,+0.2658,0.2798
NE,NE,45,87.9,77.0,35.2312,+0.3537,0.3723
E,E,90,90.7,83.7,35.2540,+0.3764,0.3963
SE,SE,135,87.9,90.4,35.1818,+0.3043,0.3203
S,S,180,81.2,93.2,34.8846,+0.0071,0.0075
SW,SW,225,74.5,90.4,34.5215,-0.3561,0.3748
W,W,270,71.7,83.7,34.7176,-0.1599,0.1684
NW,NW,315,74.5,77.0,34.8609,-0.0166,0.0175
