point,direction,angle_deg,px,py,temp_c,diff_centre_c,gradient_c_per_cm
centre,Center,0,107.6,56.9,36.7201,0.0000,0.0000
N,N,0,107.6,44.9,34.9163,-1.8038,1.5032
NE,NE,45,116.1,48.4,35.5475,-1.1726,0.9772
E,E,90,119.6,56.9,36.7328,+0.0126,0.0105
SE,SE,135,116.1,65.4,36.6598,-0.0603,0.0502
S,S,180,107.6,68.9,35.7746,-0.9455,0.7879
SW,SW,225,99.1,65.4,32.5099,-4.2103,3.5085
W,W,270,95.6,56.9,30.6069,-6.1133,5.0944
NW,NW,315,99.1,48.4,33.9927,-2.7274,2.2728
