point,direction,angle_deg,px,py,temp_c,diff_centre_c,gradient_c_per_cm
centre,Center,0,85.1,80.2,35.3496,0.0000,0.0000
N,N,0,85.1,70.7,35.1831,-0.1666,0.1753
NE,NE,45,91.8,73.5,35.9798,+0.6302,0.6633
E,E,90,94.6,80.2,35.9647,+0.6151,0.6475
SE,SE,135,91.8,86.9,36.0063,+0.6567,0.6913
S,S,180,85.1,89.7,35.5260,+0.1764,0.1857
SW,SW,225,78.3,86.9,35.0320,-0.3176,0.3343
W,W,270,75.6,80.2,35.0250,-0.3246,0.3416
NW,NW,315,78.3,73.5,35.2347,-0.1149,0.1210
