point,direction,angle_deg,px,py,temp_c,diff_centre_c,gradient_c_per_cm
centre,Center,0,104.2,83.3,33.8145,0.0000,0.0000
N,N,0,104.2,71.8,33.4470,-0.3675,0.3195
NE,NE,45,112.3,75.2,33.6085,-0.2060,0.1791
E,E,90,115.7,83.3,33.9751,+0.1606,0.1396
SE,SE,135,112.3,91.4,33.7922,-0.0223,0.0194
S,S,180,104.2,94.8,33.5879,-0.2266,0.1970
SW,SW,225,96.1,91.4,34.2976,+0.4831,0.4201
W,W,270,92.7,83.3,34.1540,+0.3395,0.2952
NW,NW,315,96.1,75.2,34.1119,+0.2974,0.2586
