point,direction,angle_deg,px,py,temp_c,diff_centre_c,gradient_c_per_cm
centre,Center,0,102.9,46.0,34.8210,0.0000,0.0000
N,N,0,102.9,33.5,34.9070,+0.0860,0.0688
NE,NE,45,111.7,37.2,34.4903,-0.3307,0.2646
E,E,90,115.4,46.0,33.8677,-0.9533,0.7627
SE,SE,135,111.7,54.8,34.8182,-0.0028,0.0022
S,S,180,102.9,58.5,35.2877,+0.4666,0.3733
SW,SW,225,94.0,54.8,35.2729,+0.4519,0.3615
W,W,270,90.4,46.0,34.6947,-0.1263,0.1011
NW,NW,315,94.0,37.2,35.0718,+0.2508,0.2006
