point,direction,angle_deg,px,py,temp_c,diff_centre_c,gradient_c_per_cm
centre,Center,0,99.8,53.7,34.5331,0.0000,0.0000
N,N,0,99.8,43.2,33.7708,-0.7623,0.7260
NE,NE,45,107.3,46.2,34.3929,-0.1402,0.1335
E,E,90,110.3,53.7,31.7158,-2.8173,2.6831
SE,SE,135,107.3,61.1,34.3718,-0.1613,0.1537
S,S,180,99.8,64.2,34.1031,-0.4300,0.4095
SW,SW,225,92.4,61.1,34.0751,-0.4580,0.4362
W,W,270,89.3,53.7,34.4706,-0.0625,0.0595
NW,NW,315,92.4,46.2,34.0566,-0.4765,0.4538
