point,direction,angle_deg,px,py,temp_c,diff_centre_c,gradient_c_per_cm
centre,Center,0,81.0,58.9,34.9366,0.0000,0.0000
N,N,0,81.0,44.4,33.6052,-1.3314,0.9182
NE,NE,45,91.2,48.7,34.2965,-0.6401,0.4414
E,E,90,95.5,58.9,35.1811,+0.2445,0.1686
SE,SE,135,91.2,69.2,35.1961,+0.2595,0.1790
S,S,180,81.0,73.4,35.0816,+0.1450,0.1000
SW,SW,225,70.8,69.2,26.2147,-8.7219,6.0151
W,W,270,66.5,58.9,29.8049,-5.1317,3.5391
NW,NW,315,70.8,48.7,33.3681,-1.5685,1.0817
