ROI,Grid_X,Grid_Y,ROI_Radius_Grid,PPP_Peak_Value,PPP_Mean_9x9,PPG_Gradient_Mag,PGA_Angle_Deg
ROI,5.0,5.0,4.5,23.5,26.02,1.37,38.7
ROI,5.0,5.0,4.5,23.5,26.02,1.37,38.7
ROI,5.0,5.0,4.5,23.5,26.02,1.37,38.7
