ROI,Grid_X,Grid_Y,PPP_Peak_Value,PPG_Gradient_Mag,PGA_Angle_Deg
T1,32.4,19.9,37.07,0.131,5.1
M1,34.4,34.0,35.84,0.069,-132.1
M2,26.8,34.8,36.33,0.092,-13.3
