ROI,Grid_X,Grid_Y,ROI_Radius_Grid,PPP_Peak_Value,PPP_Mean_9x9,PPG_Gradient_Mag,PGA_Angle_Deg
T1,41.5,16.6,4.5,35.1,34.39,0.171,-10.0
M1,41.5,34.3,4.5,35.33,35.23,0.021,-159.7
M2,29.9,34.3,4.5,34.71,34.77,0.06,-92.0
