point,direction,angle_deg,px,py,temp_c,diff_centre_c,gradient_c_per_cm
centre,Center,0,101.9,73.8,35.2257,0.0000,0.0000
N,N,0,101.9,59.3,35.3319,+0.1062,0.0732
NE,NE,45,112.2,63.5,34.8674,-0.3584,0.2471
E,E,90,116.4,73.8,32.7582,-2.4676,1.7018
SE,SE,135,112.2,84.0,34.7584,-0.4673,0.3223
S,S,180,101.9,88.3,35.2252,-0.0006,0.0004
SW,SW,225,91.7,84.0,35.2629,+0.0372,0.0256
W,W,270,87.4,73.8,35.2935,+0.0678,0.0467
NW,NW,315,91.7,63.5,35.4649,+0.2392,0.1650
