point,direction,angle_deg,px,py,temp_c,diff_centre_c,gradient_c_per_cm
centre,Center,0,102.5,51.0,32.6472,0.0000,0.0000
N,N,0,102.5,39.5,33.7122,+1.0650,0.9261
NE,NE,45,110.6,42.9,33.4322,+0.7850,0.6826
E,E,90,114.0,51.0,34.1155,+1.4683,1.2768
SE,SE,135,110.6,59.1,34.9003,+2.2532,1.9593
S,S,180,102.5,62.5,35.0553,+2.4081,2.0940
SW,SW,225,94.3,59.1,30.4411,-2.2061,1.9184
W,W,270,91.0,51.0,31.9282,-0.7189,0.6251
NW,NW,315,94.3,42.9,33.6202,+0.9730,0.8461
