point,direction,angle_deg,px,py,temp_c,diff_centre_c,gradient_c_per_cm
centre,Center,0,97.0,81.0,35.9903,0.0000,0.0000
N,N,0,97.0,68.5,36.5963,+0.6060,0.4848
NE,NE,45,105.8,72.2,35.7224,-0.2680,0.2144
E,E,90,109.5,81.0,34.8628,-1.1276,0.9021
SE,SE,135,105.8,89.8,35.5117,-0.4786,0.3829
S,S,180,97.0,93.5,35.5892,-0.4012,0.3209
SW,SW,225,88.2,89.8,35.8927,-0.0976,0.0781
W,W,270,84.5,81.0,36.1108,+0.1205,0.0964
NW,NW,315,88.2,72.2,36.4310,+0.4407,0.3525
