point,direction,angle_deg,px,py,temp_c,diff_centre_c,gradient_c_per_cm
centre,Center,0,103.6,40.6,33.6339,0.0000,0.0000
N,N,0,103.6,27.6,34.1393,+0.5054,0.3887
NE,NE,45,112.8,31.4,33.6155,-0.0183,0.0141
E,E,90,116.6,40.6,33.6528,+0.0189,0.0145
SE,SE,135,112.8,49.8,33.8702,+0.2363,0.1818
S,S,180,103.6,53.6,33.4733,-0.1606,0.1235
SW,SW,225,94.5,49.8,33.6573,+0.0234,0.0180
W,W,270,90.6,40.6,33.5969,-0.0370,0.0285
NW,NW,315,94.5,31.4,34.1320,+0.4981,0.3831
