point,direction,angle_deg,px,py,temp_c,diff_centre_c,gradient_c_per_cm
centre,Center,0,90.8,96.2,35.5804,0.0000,0.0000
N,N,0,90.8,85.7,35.9119,+0.3314,0.3156
NE,NE,45,98.2,88.8,35.4896,-0.0908,0.0865
E,E,90,101.3,96.2,35.4564,-0.1240,0.1181
SE,SE,135,98.2,103.7,35.6988,+0.1184,0.1128
S,S,180,90.8,106.7,35.6478,+0.0674,0.0642
SW,SW,225,83.4,103.7,35.5048,-0.0757,0.0721
W,W,270,80.3,96.2,35.1256,-0.4548,0.4332
NW,NW,315,83.4,88.8,35.4007,-0.1797,0.1712
