# ISOLATED SEGMENTATION ROI - FLIR0207 - m3
# label,m3
# roi_index,3
# mean_temp,35.832684
# min_temp,35.016972
# max_temp,36.969215
# std_temp,0.446161
# pixel_count,439
#
NaN,NaN,NaN,NaN,35.200382,35.415520,35.163723,35.433811,35.356052,35.369778,NaN,NaN,NaN,NaN,NaN
NaN,NaN,35.104126,35.204964,35.227867,35.429237,35.561771,35.461243,35.488667,35.452099,35.305714,NaN,NaN,NaN,NaN
35.016972,35.104126,35.172890,35.223289,35.328598,35.570904,35.584606,35.612003,35.607437,35.634827,35.548069,35.593739,NaN,NaN,NaN
35.104126,35.172890,35.214127,35.264507,35.310287,35.433811,35.653084,35.666775,35.685028,35.666775,35.566338,35.744328,NaN,NaN,NaN
35.159138,35.209545,35.259930,35.296555,35.346901,35.401798,35.598305,35.712402,35.694153,35.744328,35.730644,35.748886,35.698715,NaN,NaN
35.191219,35.223289,35.264507,35.328598,35.388077,35.474957,35.561771,35.657650,35.858280,35.794479,35.776245,35.785362,35.758007,NaN,NaN
35.223289,35.232449,35.278244,35.337749,35.401798,35.493240,35.593739,35.671337,35.876503,36.003979,35.794479,35.812714,35.812714,NaN,NaN
35.250771,35.246189,35.319443,35.365204,35.429237,35.516087,35.566338,35.789921,35.803596,35.862835,35.817268,36.031277,35.981224,NaN,NaN
35.250771,35.278244,35.319443,35.360630,35.415520,35.529793,35.630264,35.862835,35.858280,36.022179,36.044926,36.067665,35.990326,NaN,NaN
35.282822,35.301136,35.305714,35.342327,35.465813,35.680466,35.666775,35.762566,35.826385,36.031277,36.049473,36.008530,36.031277,NaN,NaN
35.264507,35.291977,35.328598,35.278244,35.369778,35.511517,35.584606,35.680466,35.817268,35.803596,35.899277,35.935707,36.017628,NaN,NaN
35.333172,35.328598,35.356052,35.287399,35.282822,35.305714,35.442955,35.616570,35.666775,35.712402,35.885612,35.958469,35.967571,NaN,NaN
35.346901,35.346901,35.392651,35.415520,35.319443,35.369778,35.438385,35.584606,35.716961,35.771687,35.867393,35.922047,35.958469,NaN,NaN
35.369778,35.374355,35.406372,35.420094,35.420094,35.538933,35.612003,35.529793,35.616570,35.707840,35.826385,35.894722,35.903831,NaN,NaN
35.383503,35.388077,35.410946,35.420094,35.452099,35.493240,35.602871,35.593739,35.767128,35.771687,35.789921,35.890167,35.908386,NaN,NaN
35.388077,35.401798,35.424667,35.452099,35.479527,35.538933,35.593739,35.662212,35.789921,35.776245,35.826385,35.871948,35.903831,NaN,NaN
35.388077,35.406372,35.433811,35.461243,35.497810,35.552635,35.580040,35.607437,35.634827,35.789921,35.830940,35.871948,35.876503,NaN,NaN
35.346901,35.388077,35.433811,35.456673,35.488667,35.410946,35.552635,35.543499,35.776245,35.922047,35.826385,35.858280,35.890167,NaN,NaN
35.314865,35.356052,35.420094,35.410946,35.310287,35.388077,35.511517,35.598305,35.922047,35.908386,35.853725,35.899277,35.867393,NaN,NaN
35.310287,35.346901,35.374355,35.388077,35.314865,35.429237,35.607437,35.858280,35.958469,35.981224,35.767128,35.876503,35.748886,35.671337,NaN
35.310287,35.264507,35.324020,35.269085,35.337749,35.474957,35.525227,36.035828,35.967571,35.972122,35.789921,35.739765,35.739765,35.726086,NaN
35.259930,35.296555,35.346901,35.287399,35.291977,35.538933,35.584606,35.976673,36.149498,36.122227,35.726086,35.821827,35.744328,35.703278,NaN
35.410946,35.461243,35.328598,35.374355,35.452099,35.516087,35.570904,35.990326,36.213104,36.317528,35.994877,35.990326,35.739765,35.762566,NaN
35.502380,35.506947,35.529793,35.570904,35.566338,35.703278,35.926598,35.940258,36.158585,36.263058,36.204021,36.003979,35.999428,35.967571,NaN
35.935707,35.826385,35.803596,35.821827,35.826385,35.944813,35.994877,36.058571,36.217648,36.353828,36.244896,36.167675,36.231274,36.149498,NaN
36.149498,36.181305,35.981224,36.017628,35.949364,35.985779,36.035828,36.181305,36.172218,36.480789,36.285759,36.340218,36.471725,36.489853,NaN
36.385582,36.458126,36.222187,36.235813,36.035828,35.931152,35.849167,35.999428,36.244896,36.489853,36.272137,36.458126,36.494381,36.575916,NaN
36.530628,36.544216,36.476257,36.399185,36.049473,36.035828,35.926598,36.176762,36.185848,36.453594,36.294834,36.494381,36.566860,36.548744,NaN
NaN,36.761429,36.535156,36.494381,36.331142,36.126774,36.144951,36.263058,36.181305,36.358364,36.303913,36.467190,36.489853,36.670971,36.544216
NaN,36.811150,36.806629,36.399185,36.303913,36.149498,36.208561,36.172218,36.158585,36.285759,36.544216,36.603085,36.639294,36.698116,36.548744
NaN,NaN,36.833744,36.824707,36.526096,36.417324,36.340218,36.358364,36.135864,36.322067,36.421860,36.458126,36.489853,36.489853,36.661922
NaN,NaN,NaN,36.915043,36.824707,36.557804,36.399185,36.394650,36.367435,36.367435,36.376511,36.417324,36.358364,36.535156,36.621193
NaN,NaN,NaN,NaN,36.865368,36.788551,36.603085,36.553276,36.376511,36.385582,36.381046,36.340218,36.408257,36.670971,36.716209
NaN,NaN,NaN,NaN,NaN,36.969215,36.612137,36.571388,36.530628,36.371975,36.376511,36.498913,36.512505,36.693592,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.797592,36.598557,36.453594,36.607613,36.530628,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.575916,NaN,NaN,NaN,NaN,NaN
