point,direction,angle_deg,px,py,temp_c,diff_centre_c,gradient_c_per_cm
centre,Center,0,101.2,34.8,34.9751,0.0000,0.0000
N,N,0,101.2,20.8,34.9552,-0.0199,0.0142
NE,NE,45,111.2,24.9,34.5742,-0.4009,0.2864
E,E,90,115.2,34.8,34.3412,-0.6339,0.4528
SE,SE,135,111.2,44.7,34.6288,-0.3463,0.2473
S,S,180,101.2,48.8,34.9644,-0.0107,0.0076
SW,SW,225,91.3,44.7,35.1921,+0.2170,0.1550
W,W,270,87.2,34.8,32.9341,-2.0410,1.4578
NW,NW,315,91.3,24.9,34.8449,-0.1302,0.0930
