# ISOLATED SEGMENTATION ROI - FLIR0207 - m1
# label,m1
# roi_index,1
# mean_temp,36.048721
# min_temp,31.801655
# max_temp,37.176636
# std_temp,0.631163
# pixel_count,1045
#
NaN,NaN,NaN,34.828674,34.994026,35.145390,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,35.099541,35.287399,35.388077,35.420094,35.534363,35.634827,35.703278,35.799038,35.767128,35.767128,36.008530,35.917492,35.917492,35.917492,35.958469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.461243,35.534363,35.598305,35.662212,35.730644,35.762566,35.826385,35.967571,35.844612,35.876503,35.903831,35.963020,35.853725,35.862835,NaN,NaN,NaN,NaN,NaN,NaN
35.269085,35.049088,35.163723,35.172890,35.195801,35.232449,35.264507,35.346901,35.429237,35.506947,35.561771,35.621132,35.680466,35.712402,35.748886,35.799038,35.785362,35.835499,35.867393,35.894722,35.885612,35.922047,35.748886,NaN,NaN,NaN,NaN,NaN
35.195801,35.067440,35.227867,35.214127,35.227867,35.273666,35.333172,35.360630,35.424667,35.506947,35.538933,35.602871,35.657650,35.689590,35.721523,35.767128,35.776245,35.812714,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35.301136,35.301136,35.287399,35.282822,35.269085,35.301136,35.333172,35.374355,35.424667,35.452099,35.511517,35.561771,35.653084,35.666775,35.694153,35.730644,35.758007,35.776245,35.812714,35.844612,35.890167,35.899277,NaN,NaN,NaN,NaN,NaN,NaN
35.392651,35.365204,35.346901,35.328598,35.337749,35.374355,35.328598,35.397224,35.420094,35.474957,35.511517,35.557201,35.625698,35.653084,35.671337,35.703278,35.726086,35.758007,35.785362,35.830940,35.862835,35.912937,35.849167,35.557201,35.218708,NaN,NaN,NaN
35.433811,35.397224,35.388077,35.378929,35.365204,35.369778,35.388077,35.429237,35.438385,35.479527,35.520657,35.561771,35.639393,35.666775,35.689590,35.716961,35.726086,35.739765,35.762566,35.730644,35.817268,35.890167,35.812714,35.703278,35.502380,34.617054,31.801655,NaN
35.493240,35.447529,35.433811,35.410946,35.401798,35.420094,35.401798,35.447529,35.447529,35.497810,35.538933,35.602871,35.643955,35.689590,35.712402,35.707840,35.657650,35.575474,35.758007,35.712402,35.808155,35.830940,35.817268,35.534363,35.493240,34.971073,32.469810,NaN
35.543499,35.511517,35.488667,35.456673,35.456673,35.470387,35.465813,35.484097,35.488667,35.534363,35.566338,35.584606,35.662212,35.621132,35.789921,35.721523,35.598305,35.643955,35.748886,35.785362,35.821827,35.803596,35.785362,35.639393,35.593739,35.149971,33.283234,NaN
35.575474,35.543499,35.520657,35.479527,35.493240,35.493240,35.493240,35.506947,35.511517,35.552635,35.607437,35.643955,35.685028,35.940258,36.008530,35.967571,35.771687,35.758007,35.776245,35.794479,35.785362,35.785362,35.748886,35.758007,35.470387,35.113297,33.687790,NaN
35.580040,35.584606,35.543499,35.529793,35.525227,35.529793,35.506947,35.520657,35.548069,35.575474,35.621132,35.712402,35.926598,35.999428,36.044926,35.935707,35.899277,35.835499,35.821827,35.821827,35.808155,35.744328,35.812714,35.739765,35.662212,35.099541,33.673862,NaN
35.680466,35.643955,35.598305,35.548069,35.575474,35.548069,35.552635,35.580040,35.580040,35.612003,35.653084,35.716961,35.799038,35.976673,35.999428,35.949364,35.830940,35.876503,35.862835,35.844612,35.840057,35.758007,35.862835,35.830940,35.657650,35.136223,33.715637,NaN
35.675903,35.657650,35.616570,35.589172,35.575474,35.575474,35.557201,35.575474,35.602871,35.634827,35.685028,35.648521,35.758007,35.985779,35.885612,35.958469,35.999428,35.967571,35.912937,35.881058,35.799038,35.789921,35.817268,35.881058,35.662212,35.122467,33.868679,NaN
35.712402,35.662212,35.625698,35.602871,35.598305,35.607437,35.607437,35.621132,35.643955,35.680466,35.735207,35.694153,35.862835,35.826385,35.908386,35.922047,36.003979,36.022179,36.081306,35.867393,35.871948,35.853725,35.890167,35.922047,35.840057,35.378929,34.072422,NaN
