point,direction,angle_deg,px,py,temp_c,diff_centre_c,gradient_c_per_cm
centre,Center,0,60.9,114.1,33.5856,0.0000,0.0000
N,N,0,60.9,103.6,33.6897,+0.1041,0.0991
NE,NE,45,68.3,106.7,34.1166,+0.5310,0.5057
E,E,90,71.4,114.1,34.4854,+0.8999,0.8570
SE,SE,135,68.3,121.5,34.4969,+0.9114,0.8680
S,S,180,60.9,124.6,33.9258,+0.3402,0.3240
SW,SW,225,53.5,121.5,33.6058,+0.0202,0.0192
W,W,270,50.4,114.1,33.5786,-0.0070,0.0067
NW,NW,315,53.5,106.7,33.5361,-0.0495,0.0471
