point,direction,angle_deg,px,py,temp_c,diff_centre_c,gradient_c_per_cm
centre,Center,0,107.4,46.9,35.1615,0.0000,0.0000
N,N,0,107.4,33.9,34.7874,-0.3740,0.2877
NE,NE,45,116.6,37.7,35.7500,+0.5885,0.4527
E,E,90,120.4,46.9,35.7966,+0.6351,0.4886
SE,SE,135,116.6,56.1,36.8951,+1.7337,1.3336
S,S,180,107.4,59.9,36.6741,+1.5126,1.1636
SW,SW,225,98.2,56.1,35.4558,+0.2943,0.2264
W,W,270,94.4,46.9,32.0217,-3.1398,2.4152
NW,NW,315,98.2,37.7,34.0169,-1.1445,0.8804
