point,direction,angle_deg,px,py,temp_c,diff_centre_c,gradient_c_per_cm
centre,Center,0,97.9,80.4,34.3227,0.0000,0.0000
N,N,0,97.9,68.4,34.1302,-0.1926,0.1605
NE,NE,45,106.4,71.9,34.1797,-0.1430,0.1192
E,E,90,109.9,80.4,34.0922,-0.2305,0.1921
SE,SE,135,106.4,88.8,34.5583,+0.2355,0.1963
S,S,180,97.9,92.4,34.3836,+0.0609,0.0507
SW,SW,225,89.4,88.8,34.5817,+0.2589,0.2158
W,W,270,85.9,80.4,34.8731,+0.5503,0.4586
NW,NW,315,89.4,71.9,34.5207,+0.1979,0.1650
