point,direction,angle_deg,px,py,temp_c,diff_centre_c,gradient_c_per_cm
centre,Center,0,94.6,86.1,36.2393,0.0000,0.0000
N,N,0,94.6,73.1,35.6787,-0.5606,0.4312
NE,NE,45,103.8,76.9,35.0795,-1.1598,0.8921
E,E,90,107.6,86.1,35.5193,-0.7199,0.5538
SE,SE,135,103.8,95.3,35.4225,-0.8167,0.6282
S,S,180,94.6,99.1,36.0614,-0.1778,0.1368
SW,SW,225,85.4,95.3,35.9840,-0.2553,0.1964
W,W,270,81.6,86.1,35.2885,-0.9508,0.7314
NW,NW,315,85.4,76.9,34.6524,-1.5869,1.2207
