point,direction,angle_deg,px,py,temp_c,diff_centre_c,gradient_c_per_cm
centre,Center,0,94.9,40.4,33.6699,0.0000,0.0000
N,N,0,94.9,27.4,33.4756,-0.1943,0.1495
NE,NE,45,104.1,31.2,33.6490,-0.0209,0.0161
E,E,90,107.9,40.4,33.8451,+0.1752,0.1348
SE,SE,135,104.1,49.5,34.8744,+1.2045,0.9265
S,S,180,94.9,53.4,34.5119,+0.8419,0.6476
SW,SW,225,85.7,49.5,34.1633,+0.4934,0.3795
W,W,270,81.9,40.4,33.0164,-0.6535,0.5027
NW,NW,315,85.7,31.2,33.0893,-0.5806,0.4466
