point,direction,angle_deg,px,py,temp_c,diff_centre_c,gradient_c_per_cm
centre,Center,0,81.8,74.8,35.1570,0.0000,0.0000
N,N,0,81.8,60.8,35.1918,+0.0348,0.0248
NE,NE,45,91.7,64.9,35.4619,+0.3049,0.2178
E,E,90,95.8,74.8,35.3793,+0.2223,0.1588
SE,SE,135,91.7,84.7,35.2662,+0.1091,0.0779
S,S,180,81.8,88.8,34.9051,-0.2520,0.1800
SW,SW,225,71.8,84.7,34.6789,-0.4782,0.3415
W,W,270,67.8,74.8,34.8781,-0.2790,0.1993
NW,NW,315,71.8,64.9,34.9694,-0.1876,0.1340
