point,direction,angle_deg,px,py,temp_c,diff_centre_c,gradient_c_per_cm
centre,Center,0,98.7,36.4,35.1811,0.0000,0.0000
N,N,0,98.7,23.4,35.0367,-0.1444,0.1111
NE,NE,45,107.9,27.2,35.3076,+0.1265,0.0973
E,E,90,111.7,36.4,35.6434,+0.4623,0.3556
SE,SE,135,107.9,45.6,36.2745,+1.0933,0.8410
S,S,180,98.7,49.4,36.1441,+0.9630,0.7408
SW,SW,225,89.5,45.6,35.6389,+0.4578,0.3522
W,W,270,85.7,36.4,34.9566,-0.2245,0.1727
NW,NW,315,89.5,27.2,34.4999,-0.6812,0.5240
