point,direction,angle_deg,px,py,temp_c,diff_centre_c,gradient_c_per_cm
centre,Center,0,80.6,78.6,34.7673,0.0000,0.0000
N,N,0,80.6,65.6,34.5981,-0.1692,0.1301
NE,NE,45,89.8,69.5,34.3617,-0.4056,0.3120
E,E,90,93.6,78.6,34.4865,-0.2808,0.2160
SE,SE,135,89.8,87.8,34.5997,-0.1676,0.1290
S,S,180,80.6,91.6,34.8691,+0.1018,0.0783
SW,SW,225,71.5,87.8,34.4077,-0.3596,0.2766
W,W,270,67.6,78.6,34.2923,-0.4750,0.3654
NW,NW,315,71.5,69.5,33.9601,-0.8072,0.6209
