point,direction,angle_deg,px,py,temp_c,diff_centre_c,gradient_c_per_cm
centre,Center,0,112.9,82.6,35.5812,0.0000,0.0000
N,N,0,112.9,69.6,36.2415,+0.6603,0.5079
NE,NE,45,122.1,73.4,36.0755,+0.4943,0.3802
E,E,90,125.9,82.6,35.5060,-0.0752,0.0578
SE,SE,135,122.1,91.8,35.9163,+0.3351,0.2577
S,S,180,112.9,95.6,35.8747,+0.2935,0.2258
SW,SW,225,103.7,91.8,35.6236,+0.0424,0.0326
W,W,270,99.9,82.6,35.6563,+0.0751,0.0578
NW,NW,315,103.7,73.4,34.8716,-0.7097,0.5459
