# ISOLATED SEGMENTATION ROI - FLIR0207 - m2
# label,m2
# roi_index,2
# mean_temp,36.132290
# min_temp,35.374355
# max_temp,36.720730
# std_temp,0.312942
# pixel_count,546
#
NaN,NaN,NaN,35.840057,36.049473,36.085854,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,35.803596,35.903831,35.967571,36.049473,36.131317,36.090401,36.094948,35.953915,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,35.767128,35.844612,35.908386,35.990326,36.031277,36.167675,36.213104,36.213104,35.903831,35.735207,35.739765,NaN,NaN,NaN,NaN,NaN
35.694153,35.799038,35.899277,35.953915,36.040375,36.022179,36.199478,36.326603,36.244896,36.167675,35.776245,35.730644,NaN,NaN,NaN,NaN,NaN
35.698715,35.808155,35.922047,36.013081,36.040375,36.167675,36.294834,36.263058,36.154041,35.808155,35.894722,35.826385,35.698715,NaN,NaN,NaN,NaN
35.762566,35.899277,35.972122,36.022179,36.122227,36.163132,36.244896,36.222187,36.335678,36.181305,35.944813,35.758007,35.707840,NaN,NaN,NaN,NaN
35.922047,36.013081,36.076759,36.067665,36.176762,36.185848,36.226730,36.362900,36.276676,36.240356,35.994877,35.803596,35.744328,35.675903,NaN,NaN,NaN
35.785362,36.049473,36.154041,36.204021,36.376511,36.353828,36.349293,36.299374,36.399185,36.335678,36.253979,35.812714,35.771687,35.712402,NaN,NaN,NaN
35.812714,35.876503,36.294834,36.299374,36.412792,36.217648,36.213104,36.467190,36.503445,36.258518,36.022179,35.794479,35.808155,35.739765,NaN,NaN,NaN
35.808155,36.058571,36.258518,36.458126,36.480789,36.362900,36.326603,36.367435,36.444527,36.267597,36.099495,35.785362,35.803596,35.721523,35.657650,NaN,NaN
35.876503,36.081306,36.367435,36.630245,36.517036,36.331142,36.290295,36.390118,36.476257,36.249435,35.999428,35.953915,35.799038,35.703278,35.653084,NaN,NaN
36.094948,36.253979,36.421860,36.643822,36.507977,36.566860,36.476257,36.480789,36.353828,36.094948,36.008530,35.803596,35.639393,35.657650,35.566338,NaN,NaN
36.076759,36.253979,36.517036,36.517036,36.675495,36.666447,36.517036,36.371975,36.294834,36.149498,35.849167,35.616570,35.575474,35.506947,35.470387,35.534363,NaN
36.331142,36.317528,36.394650,36.340218,36.621193,36.498913,36.408257,36.326603,36.167675,35.994877,35.862835,35.689590,35.593739,35.479527,35.465813,35.420094,NaN
36.063118,36.067665,36.249435,36.258518,36.394650,36.630245,36.358364,36.258518,36.049473,35.908386,35.771687,35.575474,35.479527,35.497810,35.497810,35.374355,NaN
36.044926,36.104042,36.085854,36.081306,36.122227,36.381046,36.276676,36.135864,36.017628,35.899277,35.780804,35.602871,35.433811,35.456673,35.461243,35.397224,NaN
36.003979,36.072212,36.104042,36.131317,36.149498,36.135864,36.122227,36.054020,35.976673,35.917492,35.821827,35.616570,35.612003,35.388077,35.484097,35.388077,NaN
NaN,36.008530,36.044926,36.081306,36.090401,36.090401,36.044926,35.999428,35.949364,35.835499,35.602871,35.488667,35.602871,35.602871,35.584606,35.552635,NaN
NaN,35.994877,36.035828,36.022179,36.049473,36.058571,36.017628,35.981224,35.908386,35.780804,35.630264,35.630264,35.616570,35.621132,35.621132,35.639393,NaN
NaN,35.967571,35.999428,36.008530,36.026730,36.022179,36.017628,35.976673,35.926598,35.735207,35.739765,35.616570,35.612003,35.680466,35.671337,35.698715,NaN
NaN,35.926598,35.953915,35.976673,36.008530,36.003979,36.013081,35.976673,35.953915,35.912937,35.735207,35.685028,35.707840,35.739765,35.735207,35.776245,NaN
NaN,35.899277,35.926598,35.967571,35.985779,36.040375,36.040375,35.990326,35.976673,35.931152,35.894722,35.753448,35.771687,35.675903,35.808155,35.844612,NaN
NaN,35.771687,36.013081,35.940258,35.963020,36.008530,36.058571,36.031277,36.013081,35.990326,35.949364,35.890167,35.885612,35.899277,35.894722,35.912937,NaN
NaN,35.707840,35.698715,35.894722,35.894722,36.013081,36.044926,36.072212,36.054020,36.040375,36.017628,35.981224,35.963020,35.944813,35.953915,35.990326,NaN
NaN,35.730644,35.726086,35.748886,35.908386,36.017628,36.054020,36.072212,36.099495,36.085854,36.072212,36.049473,36.035828,36.031277,36.049473,36.054020,NaN
NaN,35.694153,35.694153,35.821827,36.035828,36.044926,36.067665,36.104042,36.117680,36.108589,36.104042,36.104042,36.117680,36.085854,36.113136,36.117680,NaN
