ROI,Grid_X,Grid_Y,PPP_Peak_Value,PPG_Gradient_Mag,PGA_Angle_Deg
T1,39.4,17.1,36.73,0.356,12.3
M1,42.5,30.4,35.88,0.056,74.6
M2,34.4,31.3,36.17,0.085,71.6
