ROI,Grid_X,Grid_Y,PPP_Peak_Value,PPG_Gradient_Mag,PGA_Angle_Deg
M1,35.8,34.1,34.99,0.157,176.3
M2,27.8,34.5,34.99,0.108,-8.0
T1,35.4,17.5,34.85,0.102,157.0
