ROI,Grid_X,Grid_Y,PPP_Peak_Value,PPG_Gradient_Mag,PGA_Angle_Deg
M1,37.5,32.9,33.87,0.114,152.6
M2,29.3,34.0,33.65,0.077,-5.3
T1,36.9,17.8,33.12,0.333,62.5
